"","logFC","logCPM","LR","PValue","FDR","transcript"
"tRF-37-WU2F5JYH0RYNUR2",-1.24641118574646,5.77989884399873,4.17289893229702,0.041075462307693,0.148608161595101,"tRF-37-WU2F5JYH0RYNUR2"
"tRF-25-XXI363U0EZ",-1.25553983282817,5.71670426112107,4.16926047747368,0.0411637630709435,0.148608161595101,"tRF-25-XXI363U0EZ"
"tRF-31-Q99P9P9NH57SD",1.22696765408421,6.50978233593301,4.15412528115302,0.0415332207504139,0.14951959470149,"tRF-31-Q99P9P9NH57SD"
"tRF-29-7O58J0K8UMII",-1.22663800925894,5.84081817580565,4.14639443432327,0.0417232771335102,0.149781876900635,"tRF-29-7O58J0K8UMII"
"tRF-50-7UYK7IVI7O409Z7KZOSR",1.1993030859714,6.33772613915312,4.13643514636521,0.0419694657336057,0.149953013452745,"tRF-50-7UYK7IVI7O409Z7KZOSR"
"tRF-38-51MLHVHBEXBIYF0D",-1.24982977263233,5.71292604009314,4.13243074360379,0.0420688824134415,0.149953013452745,"tRF-38-51MLHVHBEXBIYF0D"
"tRF-30-3JVIJMRPFQRD",1.21255964075725,5.76907557588674,4.12590378942295,0.0422314569154923,0.149953013452745,"tRF-30-3JVIJMRPFQRD"
"tRF-34-M2OSRN2NKSEKH9",1.25790384420667,7.07291449498934,4.12555010130153,0.0422402854796465,0.149953013452745,"tRF-34-M2OSRN2NKSEKH9"
"tRF-31-86V8WPMN1E8Y0",1.33963405153832,9.32887687593471,4.10936699324058,0.042646321524551,0.150479906110252,"tRF-31-86V8WPMN1E8Y0"
"tRF-34-KY7343RX6NMHH3",1.36798397362782,10.4330390548756,4.10384584039423,0.04278578493197,0.150479906110252,"tRF-34-KY7343RX6NMHH3"
"tRF-30-IK9NJ4S2I7L7",1.28578427291934,7.94885364327765,4.09936720935279,0.0428992666664065,0.150479906110252,"tRF-30-IK9NJ4S2I7L7"
"tRF-35-PS5P4PW3FJHPEZ",1.27384510662626,7.78727756652862,4.09834265527824,0.042925271773401,0.150479906110252,"tRF-35-PS5P4PW3FJHPEZ"
"tRF-35-WOFFR3VJ4ZZ526",-1.26644832627968,5.60102705645807,4.09628936805995,0.0429774379735854,0.150479906110252,"tRF-35-WOFFR3VJ4ZZ526"
"tRF-38-L85DMKYUYRLHR0D2",-1.2620707341807,7.25273020590758,4.07540993537808,0.0435117068586711,0.151934320670442,"tRF-38-L85DMKYUYRLHR0D2"
"tRF-28-86V8WPMN1E0J",1.19977791219584,6.42303066889613,4.06190006543851,0.0438611205952875,0.15273709024735,"tRF-28-86V8WPMN1E0J"
"tRF-29-IK9NJ4S2I71V",1.33276304558074,9.61771757832811,4.04966829368721,0.0441800252112027,0.153088622618818,"tRF-29-IK9NJ4S2I71V"
"tRF-34-FSXMSL73VL4YHE",1.24483744025742,7.04940362123388,4.04884243692357,0.0442016445589545,0.153088622618818,"tRF-34-FSXMSL73VL4YHE"
"tRF-17-7X9PN53",-1.24738734626276,6.74609637645613,4.03532937138103,0.044556976922132,0.153902206774283,"tRF-17-7X9PN53"
"tRF-40-2S3HPSR95933JKB6",-1.35262506947109,10.3257780687455,4.02812587488766,0.0447476237957264,0.154144105689861,"tRF-40-2S3HPSR95933JKB6"
"tRF-38-9O08F4BDNZ8O6FD2",-1.28747130951898,8.11532913908146,4.01145174791135,0.0451922219128807,0.155024972806779,"tRF-38-9O08F4BDNZ8O6FD2"
"tRF-50-VNOE0D58ZZJQJYSWRYVM",1.17282364274367,6.09409730829965,4.00944871730352,0.0452459427675498,0.155024972806779,"tRF-50-VNOE0D58ZZJQJYSWRYVM"
"tRF-18-7X9PN5D5",-1.3132852789481,8.76428724222122,3.98358199418205,0.0459457582791043,0.157001815723784,"tRF-18-7X9PN5D5"
"tRF-33-34HWH3RXSINH0P",1.235221498133,7.11924829954097,3.97354212162822,0.0462204478653871,0.157220081657291,"tRF-33-34HWH3RXSINH0P"
"tRF-31-KF9MVH7P59N3E",1.31708648299169,9.42507226670859,3.97225918050287,0.0462556734766364,0.157220081657291,"tRF-31-KF9MVH7P59N3E"
"tRF-27-M8ZLSSXUOLJ",-1.24235646921786,7.01065891651855,3.96272923310221,0.0465182238828568,0.157693077247456,"tRF-27-M8ZLSSXUOLJ"
"tRF-34-86J8WPMN1E8Y2Q",1.42140395098799,12.8098180455564,3.93778909466317,0.0472127891023735,0.159319120996676,"tRF-34-86J8WPMN1E8Y2Q"
"tRF-34-L85DMKYUYRLHIX",1.2609499067348,7.97227421685509,3.93656285714999,0.04724721976349,0.159319120996676,"tRF-34-L85DMKYUYRLHIX"
"tRF-22-WEKSPM852",1.26330507450567,8.03538014062823,3.92437130727635,0.0475909818417965,0.159730498258698,"tRF-22-WEKSPM852"
"tRF-36-KUB4Z3V5393L41B",-1.23069823716821,6.81477637241592,3.92337516734558,0.0476191861005977,0.159730498258698,"tRF-36-KUB4Z3V5393L41B"
"tRF-16-K8QJP1B",-1.20764135090197,6.51938066726671,3.91612344385916,0.0478250403395732,0.159863283124934,"tRF-16-K8QJP1B"
"tRF-39-2R1HPSR9O9337K0V",-1.22973437629923,6.72877322873841,3.91317697999641,0.0479089494811032,0.159863283124934,"tRF-39-2R1HPSR9O9337K0V"
"tRF-20-18Y3E7QN",1.15514184297626,6.21138827405172,3.90371065088674,0.0481795836514838,0.160347676840094,"tRF-20-18Y3E7QN"
"tRF-31-389MV47P596VE",1.42344185022256,13.37596569084,3.89672562226326,0.0483803137867059,0.160597509141325,"tRF-31-389MV47P596VE"
"tRF-16-884U1DD",-1.26672852216917,8.12513797905483,3.88583191975565,0.0486951320181186,0.16122377906517,"tRF-16-884U1DD"
