"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-JNORRND",1,2,0,0,0,0,0,3
"tRF-16-JQSSM80",2,1,0,0,1,0,1,0
"tRF-16-JYSZ11D",1,4,0,0,3,3,0,2
"tRF-16-K0SVRND",3,0,4,0,2,2,0,1
"tRF-16-K2821I0",1,0,0,0,0,0,0,0
"tRF-16-K53SW1B",0,1,0,0,3,0,0,1
"tRF-16-K5J0W1B",0,1,0,0,1,0,0,0
"tRF-16-K5NSW1B",0,0,0,0,0,0,0,2
"tRF-16-K7VZ0RB",0,1,2,1,1,1,1,0
"tRF-16-K7VZ41B",0,0,0,0,3,0,0,1
"tRF-16-K87SERD",0,0,1,0,0,0,0,0
"tRF-16-K8KDP1B",3,17,3,3,13,8,5,9
"tRF-16-K8QJP1B",2,22,1,12,35,31,18,29
"tRF-16-KE6KM80",1,0,0,0,0,0,0,0
"tRF-16-KHM26R0",0,0,0,0,1,0,1,3
"tRF-16-KJ5R5ND",0,0,2,1,0,1,4,5
"tRF-16-KJWB61B",0,0,0,0,0,1,0,0
"tRF-16-KK5Y93E",3,2,1,0,0,0,0,1
"tRF-16-KKM1M3E",0,0,0,0,0,1,0,0
"tRF-16-KKRSL3E",0,1,0,0,1,0,0,1
"tRF-16-KMJKE1B",0,0,0,0,0,0,0,1
"tRF-16-KNR7VJD",1,0,0,1,0,3,1,0
"tRF-16-KQ3SW1B",1,7,0,9,11,11,7,9
"tRF-16-KQWYL1D",0,0,0,0,0,1,0,0
"tRF-16-KRYNW5D",0,0,0,0,1,0,1,2
"tRF-16-KS3W2V0",0,0,1,0,0,0,0,0
"tRF-16-KS8WP9D",1,0,1,0,0,1,0,0
"tRF-16-L0H5RND",0,0,1,0,0,0,1,0
"tRF-16-L0HVRND",0,0,0,0,1,0,0,0
"tRF-16-L1K847D",0,0,1,0,0,0,0,0
"tRF-16-L2RPM2E",0,0,0,0,1,0,0,0
"tRF-16-L2RRM3E",0,0,0,0,2,0,1,0
"tRF-16-L4Q4R90",0,0,0,0,0,1,0,0
"tRF-16-L61MQKE",1,0,0,0,0,0,0,0
"tRF-16-L85DMKE",3,1,2,2,1,1,4,1
"tRF-16-L85J3KE",2,0,4,0,1,1,0,0
"tRF-16-L8K87SB",0,2,0,2,1,0,2,4
"tRF-16-LB3KMBB",0,0,0,0,0,0,0,1
"tRF-16-LBRR33E",0,0,0,1,0,0,0,0
"tRF-16-LBRY73E",2,1,0,0,0,0,0,2
"tRF-16-LJR7DJB",0,0,0,0,0,1,0,0
"tRF-16-LKKSR9B",0,0,0,1,0,1,0,0
"tRF-16-LNK8QJ0",0,0,0,0,0,0,1,0
"tRF-16-LNKSEK0",0,1,0,0,0,0,0,0
"tRF-16-LPMBQ4D",0,0,1,0,0,0,0,0
"tRF-16-LR6LQ60",0,0,0,0,0,0,1,0
"tRF-16-LSN3S30",0,0,2,1,0,0,1,0
"tRF-16-LUD3KS0",3,0,3,0,0,1,0,3
"tRF-16-LY7L73B",0,0,0,0,0,0,2,0
"tRF-16-M0IBB7E",1,0,0,0,0,0,0,0
"tRF-16-M0NK5YE",0,1,0,0,0,0,0,1
"tRF-16-M1M3WDE",0,0,0,0,1,1,1,0
"tRF-16-M1M3WEE",0,2,0,0,0,1,0,0
"tRF-16-M26RRNE",0,2,0,0,0,0,0,0
"tRF-16-M2ORRND",0,0,0,1,0,0,0,0
"tRF-16-M2OSRND",2,1,3,1,0,2,0,2
"tRF-16-M830MME",0,0,1,0,0,0,0,0
"tRF-16-M8ZLSSE",1,4,1,4,6,5,6,6
"tRF-16-MBQ4NKD",65,68,83,51,80,67,55,83
"tRF-16-ME6KM80",2,2,5,4,2,0,1,2
"tRF-16-MEF91S0",2,1,0,0,1,1,0,0
"tRF-16-MEJB5YD",0,0,1,0,1,0,0,0
"tRF-16-MIF91S0",0,0,1,0,0,0,0,0
"tRF-16-MKQ4R90",0,1,0,0,1,0,0,2
"tRF-16-MKQ4R9B",0,0,0,0,0,0,0,1
"tRF-16-ML5F82D",5,2,3,0,4,3,0,1
"tRF-16-MLQHWUD",0,0,0,0,0,1,0,0
