"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-16-S8V0J80",0,1,0,1,0,1
"tRF-16-SQ2WW1E",0,0,1,0,0,0
"tRF-16-SRMNLBD",0,0,4,0,0,0
"tRF-16-SXQ3V2E",0,0,0,0,1,0
"tRF-16-UEDP5IE",0,1,0,1,0,0
"tRF-16-UFQQKN0",0,0,7,0,0,0
"tRF-16-V2Y8L9E",7,12,16,7,0,4
"tRF-16-V4915H0",0,0,0,1,0,0
"tRF-16-V4VH7QD",1,0,7,0,1,0
"tRF-16-V6M7QZB",0,1,0,0,0,0
"tRF-16-VR3196D",1,0,2,1,0,0
"tRF-16-VU6RM3E",0,0,0,2,1,1
"tRF-16-VUY9RZ0",0,1,0,0,0,0
"tRF-16-VW3H93E",0,1,0,0,0,0
"tRF-16-W3FJHPB",0,6,0,1,1,0
"tRF-16-W3FJIKB",5,3,0,0,1,0
"tRF-16-W47W1R0",0,0,7,0,0,0
"tRF-16-W6VM4JD",0,0,1,0,0,0
"tRF-16-WB08Q2B",1,0,0,0,0,0
"tRF-16-WB8Y3DE",0,0,1,0,1,0
"tRF-16-WBKS8W0",1,0,0,0,0,0
"tRF-16-WE3SNK0",0,0,0,1,0,0
"tRF-16-WE6MODD",0,0,7,1,0,0
"tRF-16-WE6WRND",0,0,0,0,0,1
"tRF-16-WE8RO80",1,0,0,0,0,0
"tRF-16-WE8SPOE",0,0,0,0,0,1
"tRF-16-WEKSPME",0,0,1,0,0,0
"tRF-16-WFS9KY0",0,0,0,0,0,1
"tRF-16-WJQ72SD",1,0,1,0,0,1
"tRF-16-WKXU53D",1,0,0,0,0,0
"tRF-16-WPMN1EE",0,0,10,0,0,0
"tRF-16-WU1M70E",0,0,0,0,0,2
"tRF-16-WV7W6SD",2,0,1,0,0,0
"tRF-16-WXQFQKD",0,0,0,0,1,0
"tRF-16-X3HRL70",5,4,23,13,4,1
"tRF-16-X5Q4R90",0,0,2,0,0,0
