"","logFC","logCPM","LR","PValue","FDR","transcript"
"hsa-miR-1246",0.478982466885887,9.85691717082072,2.66275313903671,0.102722794122184,0.295083357846455,"hsa-miR-1246"
"hsa-miR-370-3p",-0.66511781312098,4.47811463004189,2.65182208721931,0.103431280069891,0.295083357846455,"hsa-miR-370-3p"
"hsa-miR-152-3p",-0.486849246994773,8.59571777870427,2.63928813838717,0.104250246567029,0.295248873489104,"hsa-miR-152-3p"
"hsa-miR-4326",0.62124526432352,4.85414976009418,2.48266395468844,0.115107142543804,0.321336318326354,"hsa-miR-4326"
"hsa-miR-374a-3p",-0.572539419388095,6.78541239763871,2.48251683978396,0.115117907854029,0.321336318326354,"hsa-miR-374a-3p"
"hsa-miR-132-3p",0.453956482907932,8.84875666704691,2.42680203566463,0.119276008559112,0.326331597350274,"hsa-miR-132-3p"
"hsa-miR-129-1-3p",0.544753971652725,7.2227073736728,2.42668021589195,0.119285280186841,0.326331597350274,"hsa-miR-129-1-3p"
"hsa-miR-10a-5p",-0.458601406262107,16.6470921520401,2.42477175482236,0.119430636143657,0.326331597350274,"hsa-miR-10a-5p"
"hsa-miR-197-3p",-0.453414834198874,9.43963730200206,2.39940316599625,0.121381552004588,0.329342952292168,"hsa-miR-197-3p"
"hsa-miR-374b-5p",-0.451627170965524,12.2027659189899,2.36599752057259,0.124004624945319,0.333644326984989,"hsa-miR-374b-5p"
"hsa-miR-130a-3p",0.484096722022767,8.13078949943282,2.35743983967887,0.124686668589751,0.333644326984989,"hsa-miR-130a-3p"
"hsa-miR-1249-3p",-0.600624399476484,4.98934093004428,2.30400550135414,0.129040848189816,0.342393519983334,"hsa-miR-1249-3p"
"hsa-miR-361-3p",-0.446679564298525,10.3782752466739,2.29437527831436,0.129843444422316,0.342393519983334,"hsa-miR-361-3p"
"hsa-miR-455-5p",-0.577398566661176,5.27770677587216,2.28531392693906,0.130603713808076,0.342393519983334,"hsa-miR-455-5p"
"hsa-miR-625-3p",-0.52591953284659,7.19265474056615,2.23561680073252,0.134862797905637,0.350493763281542,"hsa-miR-625-3p"
"hsa-miR-23b-3p",-0.43645521166249,9.36561751790695,2.22833076502944,0.135500166217091,0.350493763281542,"hsa-miR-23b-3p"
"hsa-miR-652-3p",-0.452615991437498,8.41429337182579,2.19234522745589,0.138697991081134,0.356389539996557,"hsa-miR-652-3p"
"hsa-miR-6516-5p",-0.588911945314274,4.74098727817635,2.1783424485764,0.139965133060211,0.356726457525485,"hsa-miR-6516-5p"
"hsa-miR-199b-5p",-0.66298728409896,3.86513991522698,2.17063752668689,0.140667907220101,0.356726457525485,"hsa-miR-199b-5p"
"hsa-miR-1224-5p",0.548049954284772,5.71137265141998,2.07494693546558,0.14973514741554,0.374251758403389,"hsa-miR-1224-5p"
"hsa-miR-320b",0.465558045478476,7.90042161317129,2.06778503018807,0.150439872010868,0.374251758403389,"hsa-miR-320b"
"hsa-miR-454-5p",-0.555155368924347,5.17594591180037,2.06324901282339,0.150888151957378,0.374251758403389,"hsa-miR-454-5p"
"hsa-miR-342-3p",0.421920165733372,11.6701059821137,2.05771687060675,0.151436922859103,0.374251758403389,"hsa-miR-342-3p"
"hsa-miR-671-5p",0.55024827185069,5.0988572719298,2.02893538127957,0.154328680972159,0.378984355805049,"hsa-miR-671-5p"
"hsa-miR-191-3p",-0.593231128122773,4.36227697037542,2.01619306810947,0.15562889527272,0.379773656388776,"hsa-miR-191-3p"
"hsa-let-7f-5p",-0.410606950030232,9.14066679486917,1.97887470268652,0.159509004708085,0.386809336417106,"hsa-let-7f-5p"
"hsa-miR-576-5p",-0.555819112246306,4.79780746502807,1.95585389221945,0.161957432193113,0.390307352117565,"hsa-miR-576-5p"
"hsa-miR-153-3p",0.526668522494221,5.62517593295625,1.92535499361346,0.165267529096295,0.395825933884953,"hsa-miR-153-3p"
"hsa-miR-219a-2-3p",0.404280927482985,11.6063930216772,1.88911843663607,0.169301386773267,0.400672894339438,"hsa-miR-219a-2-3p"
"hsa-miR-101-3p",0.402895643916527,9.79185200774944,1.88862947581474,0.169356584205329,0.400672894339438,"hsa-miR-101-3p"
"hsa-miR-30c-2-3p",-0.524036600964898,4.95301120191306,1.80587046711531,0.179004401190126,0.420931561586479,"hsa-miR-30c-2-3p"
"hsa-miR-499a-5p",0.507696362639548,6.03520313831499,1.79338057238257,0.180514815876226,0.421926196144432,"hsa-miR-499a-5p"
"hsa-miR-301a-5p",-0.417846727793719,8.06034038137659,1.72621440729153,0.188895075613571,0.438869996036321,"hsa-miR-301a-5p"
"hsa-miR-1307-5p",0.498883065350178,5.09482014323927,1.67548423614426,0.195525573532689,0.449455767805456,"hsa-miR-1307-5p"
"hsa-miR-181c-5p",0.477212819955847,6.50984995910052,1.67366688058336,0.195768105049283,0.449455767805456,"hsa-miR-181c-5p"
"hsa-miR-181c-3p",0.443229191453062,7.30845113896477,1.64215986413606,0.200029383596907,0.453708097619437,"hsa-miR-181c-3p"
"hsa-miR-488-3p",0.451421121828984,7.13161956396402,1.6343144823412,0.201107332086827,0.453708097619437,"hsa-miR-488-3p"
"hsa-miR-889-3p",0.596937761425433,3.57085968290939,1.63416213527011,0.20112833193439,0.453708097619437,"hsa-miR-889-3p"
"hsa-miR-361-5p",-0.369875291314929,10.0403186648553,1.5846983540693,0.208085229455567,0.46668826028185,"hsa-miR-361-5p"
"hsa-miR-27b-3p",-0.368343326193989,12.948894639592,1.57445253447437,0.209561574196397,0.467192667755173,"hsa-miR-27b-3p"
"hsa-miR-320c",0.450480478558664,6.89289606038169,1.56648410500996,0.210718342415349,0.467192667755173,"hsa-miR-320c"
"hsa-miR-10a-3p",-0.36364739236155,11.3254072360922,1.52531381882454,0.216817121747115,0.477983200215231,"hsa-miR-10a-3p"
"hsa-miR-5002-5p",-0.515067025639769,4.30128767008826,1.50113741165569,0.220496435476992,0.483348118446739,"hsa-miR-5002-5p"
"hsa-miR-138-2-3p",0.462711656338188,5.81509760112161,1.49288853188777,0.221768828128542,0.483406209628508,"hsa-miR-138-2-3p"
"hsa-miR-335-3p",-0.345670158371945,9.36351622545579,1.39854366116662,0.236967561449111,0.513609120487174,"hsa-miR-335-3p"
"hsa-miR-365a-5p",0.508153972562653,4.09671823521209,1.39078680299451,0.238272272390957,0.513609120487174,"hsa-miR-365a-5p"
"hsa-miR-744-5p",-0.343088686281257,11.0457707793374,1.35440625368266,0.244509284226484,0.524017607817193,"hsa-miR-744-5p"
"hsa-miR-488-5p",0.478521039655054,4.36014860022524,1.34637593651725,0.245912681035929,0.524017607817193,"hsa-miR-488-5p"
"hsa-miR-93-5p",0.341062831519324,11.0519502373431,1.33932730244337,0.24715263461481,0.524017607817193,"hsa-miR-93-5p"
"hsa-miR-1226-3p",-0.435795978777784,5.3397117356173,1.30173362170058,0.253896800341927,0.535391078981889,"hsa-miR-1226-3p"
"hsa-miR-301b-5p",-0.468971082010674,4.40278807750157,1.28330600724838,0.257285242985548,0.539603644748069,"hsa-miR-301b-5p"
"hsa-miR-455-3p",-0.5511111465316,3.43217740540344,1.2650535429344,0.260696687054738,0.54381889557655,"hsa-miR-455-3p"
"hsa-miR-339-5p",-0.420219843296927,5.75808227891354,1.22132725610577,0.26910033467891,0.558347218478167,"hsa-miR-339-5p"
"hsa-miR-3085-3p",0.418106464239959,5.38438769692451,1.20956976498832,0.271417345574719,0.559553117778515,"hsa-miR-3085-3p"
"hsa-miR-346",-0.393543062992719,6.91473269417774,1.19632768572258,0.274056892887237,0.559553117778515,"hsa-miR-346"
"hsa-miR-1287-5p",-0.410419212340011,6.25040427128257,1.19297784440813,0.274729711728437,0.559553117778515,"hsa-miR-1287-5p"
"hsa-miR-19b-3p",0.397050930817865,6.66889459956769,1.1860758202314,0.276122541321952,0.559553117778515,"hsa-miR-19b-3p"
"hsa-miR-148a-5p",-0.414822093768125,5.27804742842176,1.1822802794224,0.276892264467719,0.559553117778515,"hsa-miR-148a-5p"
"hsa-miR-23b-5p",-0.501818925687339,3.71055510663401,1.16104752652456,0.281248398565754,0.565411288308355,"hsa-miR-23b-5p"
"hsa-miR-148a-3p",-0.313627514977804,13.0332451006917,1.14174963403241,0.28528292441604,0.567828972312973,"hsa-miR-148a-3p"
"hsa-miR-103a-3p",0.314665944682461,14.3246632875995,1.14129922108619,0.285377962889252,0.567828972312973,"hsa-miR-103a-3p"
"hsa-miR-342-5p",0.378695677181158,6.99287725194255,1.11831058669342,0.290282519322526,0.574640905597654,"hsa-miR-342-5p"
"hsa-miR-320d",0.395000102467577,6.2304478541929,1.10706124068532,0.292721662861037,0.576527945127321,"hsa-miR-320d"
"hsa-miR-15b-3p",-0.413356177036007,4.7170939111606,1.06997617763207,0.300950826772421,0.589593721491399,"hsa-miR-15b-3p"
"hsa-miR-3938",-0.453156901724261,3.95097790025246,1.06360362654213,0.302394717981413,0.589593721491399,"hsa-miR-3938"
"hsa-miR-216a-3p",-0.298367626681572,9.93561001199511,1.03392961221895,0.309237498467882,0.599920747027691,"hsa-miR-216a-3p"
"hsa-miR-324-3p",0.415595475287977,4.33347935656117,1.00952242081335,0.315017279383811,0.603231338887834,"hsa-miR-324-3p"
"hsa-miR-29b-2-5p",0.45448150971778,3.82253431288515,1.00731992153445,0.315545760067839,0.603231338887834,"hsa-miR-29b-2-5p"
"hsa-miR-338-5p",-0.310297954805365,8.30262657094674,1.00706022782465,0.315608148954202,0.603231338887834,"hsa-miR-338-5p"
