"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"2482","hsa-miR-6807-3p","hsa-mir-6807","4","0","0","3","0","0"
"2483","hsa-miR-6808-5p","hsa-mir-6808","0","0","0","0","0","0"
"2484","hsa-miR-6808-3p","hsa-mir-6808","0","0","0","0","0","0"
"2485","hsa-miR-6809-5p","hsa-mir-6809","0","0","0","0","2","2"
"2486","hsa-miR-6809-3p","hsa-mir-6809","0","0","0","0","0","0"
"2487","hsa-miR-6810-5p","hsa-mir-6810","0","0","0","0","0","0"
"2488","hsa-miR-6810-3p","hsa-mir-6810","4","0","0","2","0","3"
"2489","hsa-miR-6811-5p","hsa-mir-6811","0","0","0","0","0","0"
"2490","hsa-miR-6811-3p","hsa-mir-6811","0","0","0","0","0","0"
"2491","hsa-miR-6812-5p","hsa-mir-6812","0","0","0","0","0","0"
"2492","hsa-miR-6812-3p","hsa-mir-6812","0","0","0","0","1","0"
"2493","hsa-miR-6813-5p","hsa-mir-6813","4","0","0","0","0","0"
"2494","hsa-miR-6813-3p","hsa-mir-6813","0","0","0","0","0","0"
"2495","hsa-miR-6814-5p","hsa-mir-6814","0","0","0","0","0","0"
"2496","hsa-miR-6814-3p","hsa-mir-6814","0","0","0","0","0","0"
"2497","hsa-miR-6815-5p","hsa-mir-6815","0","2","0","3","0","2"
"2498","hsa-miR-6815-3p","hsa-mir-6815","0","0","0","0","0","0"
"2499","hsa-miR-6816-5p","hsa-mir-6816","0","0","0","0","0","0"
"2500","hsa-miR-6816-3p","hsa-mir-6816","0","0","0","0","0","0"
"2501","hsa-miR-6817-5p","hsa-mir-6817","0","0","0","0","0","0"
"2502","hsa-miR-6817-3p","hsa-mir-6817","0","0","0","0","0","2"
"2503","hsa-miR-6818-5p","hsa-mir-6818","7","0","15","1","4","0"
"2504","hsa-miR-6818-3p","hsa-mir-6818","0","0","0","0","0","0"
"2505","hsa-miR-6819-5p","hsa-mir-6819","0","0","0","0","0","0"
"2506","hsa-miR-6819-3p","hsa-mir-6819","1","0","0","0","0","0"
"2507","hsa-miR-6820-5p","hsa-mir-6820","5","1","6","5","0","2"
