"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-K7VZ0RB",0,5.12,7.02,6.43,4.42,4.46,4.57,0
"tRF-16-K7VZ41B",0,0,0,0,13.25,0,0,3.89
"tRF-16-K87SERD",0,0,3.51,0,0,0,0,0
"tRF-16-K8KDP1B",9.12,87.12,10.53,19.28,57.41,35.65,22.84,35.03
"tRF-16-K8QJP1B",6.08,112.75,3.51,77.13,154.57,138.14,82.21,112.88
"tRF-16-KE6KM80",3.04,0,0,0,0,0,0,0
"tRF-16-KHM26R0",0,0,0,0,4.42,0,4.57,11.68
"tRF-16-KJ5R5ND",0,0,7.02,6.43,0,4.46,18.27,19.46
"tRF-16-KJWB61B",0,0,0,0,0,4.46,0,0
"tRF-16-KK5Y93E",9.12,10.25,3.51,0,0,0,0,3.89
"tRF-16-KKM1M3E",0,0,0,0,0,4.46,0,0
"tRF-16-KKRSL3E",0,5.12,0,0,4.42,0,0,3.89
"tRF-16-KMJKE1B",0,0,0,0,0,0,0,3.89
"tRF-16-KNR7VJD",3.04,0,0,6.43,0,13.37,4.57,0
"tRF-16-KQ3SW1B",3.04,35.87,0,57.85,48.58,49.02,31.97,35.03
"tRF-16-KQWYL1D",0,0,0,0,0,4.46,0,0
"tRF-16-KRYNW5D",0,0,0,0,4.42,0,4.57,7.79
"tRF-16-KS3W2V0",0,0,3.51,0,0,0,0,0
"tRF-16-KS8WP9D",3.04,0,3.51,0,0,4.46,0,0
"tRF-16-L0H5RND",0,0,3.51,0,0,0,4.57,0
"tRF-16-L0HVRND",0,0,0,0,4.42,0,0,0
"tRF-16-L1K847D",0,0,3.51,0,0,0,0,0
"tRF-16-L2RPM2E",0,0,0,0,4.42,0,0,0
"tRF-16-L2RRM3E",0,0,0,0,8.83,0,4.57,0
"tRF-16-L4Q4R90",0,0,0,0,0,4.46,0,0
"tRF-16-L61MQKE",3.04,0,0,0,0,0,0,0
"tRF-16-L85DMKE",9.12,5.12,7.02,12.85,4.42,4.46,18.27,3.89
"tRF-16-L85J3KE",6.08,0,14.04,0,4.42,4.46,0,0
"tRF-16-L8K87SB",0,10.25,0,12.85,4.42,0,9.13,15.57
"tRF-16-LB3KMBB",0,0,0,0,0,0,0,3.89
"tRF-16-LBRR33E",0,0,0,6.43,0,0,0,0
"tRF-16-LBRY73E",6.08,5.12,0,0,0,0,0,7.79
"tRF-16-LJR7DJB",0,0,0,0,0,4.46,0,0
"tRF-16-LKKSR9B",0,0,0,6.43,0,4.46,0,0
"tRF-16-LNK8QJ0",0,0,0,0,0,0,4.57,0
"tRF-16-LNKSEK0",0,5.12,0,0,0,0,0,0
"tRF-16-LPMBQ4D",0,0,3.51,0,0,0,0,0
"tRF-16-LR6LQ60",0,0,0,0,0,0,4.57,0
"tRF-16-LSN3S30",0,0,7.02,6.43,0,0,4.57,0
"tRF-16-LUD3KS0",9.12,0,10.53,0,0,4.46,0,11.68
"tRF-16-LY7L73B",0,0,0,0,0,0,9.13,0
"tRF-16-M0IBB7E",3.04,0,0,0,0,0,0,0
"tRF-16-M0NK5YE",0,5.12,0,0,0,0,0,3.89
"tRF-16-M1M3WDE",0,0,0,0,4.42,4.46,4.57,0
"tRF-16-M1M3WEE",0,10.25,0,0,0,4.46,0,0
"tRF-16-M26RRNE",0,10.25,0,0,0,0,0,0
"tRF-16-M2ORRND",0,0,0,6.43,0,0,0,0
"tRF-16-M2OSRND",6.08,5.12,10.53,6.43,0,8.91,0,7.79
"tRF-16-M830MME",0,0,3.51,0,0,0,0,0
"tRF-16-M8ZLSSE",3.04,20.5,3.51,25.71,26.5,22.28,27.4,23.36
"tRF-16-MBQ4NKD",197.68,348.5,291.31,327.8,353.31,298.56,251.2,323.08
"tRF-16-ME6KM80",6.08,10.25,17.55,25.71,8.83,0,4.57,7.79
"tRF-16-MEF91S0",6.08,5.12,0,0,4.42,4.46,0,0
"tRF-16-MEJB5YD",0,0,3.51,0,4.42,0,0,0
"tRF-16-MIF91S0",0,0,3.51,0,0,0,0,0
"tRF-16-MKQ4R90",0,5.12,0,0,4.42,0,0,7.79
"tRF-16-MKQ4R9B",0,0,0,0,0,0,0,3.89
"tRF-16-ML5F82D",15.21,10.25,10.53,0,17.67,13.37,0,3.89
"tRF-16-MLQHWUD",0,0,0,0,0,4.46,0,0
"tRF-16-MNH5SYD",6.08,5.12,3.51,0,4.42,17.82,0,3.89
"tRF-16-MPW4PU0",0,0,3.51,6.43,0,0,0,0
"tRF-16-MQ5JK80",3.04,10.25,3.51,6.43,0,4.46,4.57,3.89
"tRF-16-MQ6KM80",3.04,0,0,0,0,0,0,0
"tRF-16-NB8PLMD",0,0,7.02,0,0,0,0,0
"tRF-16-NKMB01B",0,0,0,0,0,4.46,0,0
"tRF-16-NPLPMJB",3.04,0,0,0,0,0,0,0
"tRF-16-NPSV9ND",0,0,0,0,0,0,4.57,0
"tRF-16-NVORRND",0,0,7.02,0,4.42,0,0,0
"tRF-16-NY2V7KE",9.12,5.12,7.02,0,0,0,0,0
"tRF-16-NYDRFUE",6.08,0,0,6.43,4.42,0,4.57,0
"tRF-16-NYRV500",0,0,0,6.43,0,0,0,3.89
"tRF-16-O045DBD",0,5.12,0,19.28,4.42,0,4.57,3.89
"tRF-16-O0789ND",3.04,0,3.51,0,0,0,4.57,0
"tRF-16-O2Z0R90",6.08,0,0,0,0,0,0,0
"tRF-16-O2ZFR90",0,0,0,0,4.42,0,0,0
"tRF-16-O7M8LOE",0,0,0,0,0,0,0,3.89
"tRF-16-OB9ZFH0",0,15.37,0,6.43,8.83,17.82,4.57,7.79
"tRF-16-ODMJ6BD",0,5.12,0,6.43,0,0,4.57,3.89
"tRF-16-OKNH990",3.04,0,0,0,0,0,0,0
"tRF-16-OMEMR3D",0,0,0,0,4.42,0,0,0
"tRF-16-OMK1QVD",0,0,0,6.43,4.42,0,0,0
"tRF-16-OOJ0QXD",0,0,0,0,0,0,4.57,7.79
